objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,A-MSS-08757_1r.jpeg,,,Tunis National Library MS 08757,,912,,,"Tunis, Tunisia",36.79980263743248,10.163509544705706,,,Image;StillImage,image/png,ara,Public domain,
coll002,Ahmed_III_463_1r.png,,,Istanbul MS Ahmed III 463,,920,,,"Istanbul, Turkey",41.01627516802226,28.962511907938776,,,Image;StillImage,image/png,ara,Public domain,
coll003,Ahmed_III_465_1r.png,,,Istanbul MS Ahmed III 465,,918,,,"Istanbul, Turkey",41.01627516802226,28.962511907938776,,,Image;StillImage,image/png,ara,Public domain,
coll004,Ahmed_III_467_1r.png,,,Istanbul MS Ahmed III 467,,915,,,"Istanbul, Turkey",41.01627516802226,28.962511907938776,,,Image;StillImage,image/png,ara,Public domain,
coll005,Ahmed_III_539_1r.png,,,Istanbul MS Ahmed III 539,,901,,,"Istanbul, Turkey",41.01627516802226,28.962511907938776,,,Image;StillImage,image/png,ara,Public domain,
coll006,al-Ahmadiyya_12256_1r.png,,,Damascus MS al-Ahmadiyya 12256,,904,,,"Damascus, Syria",33.5153761445835,36.277764011418334,,,Image;StillImage,image/png,ara,Public domain,
coll007,al-Ahmadiyya_12257_1r.png,,,Damascus MS al-Ahmadiyya 12257,,923,,,"Damascus, Syria",33.5153761445835,36.277764011418334,,,Image;StillImage,image/png,ara,Public domain,
coll008,Ms.Ahmed III.2944.1_1r.png,,,Istanbul MS Ahmed III 2944.1,,0917,,,"Istanbul, Turkey",41.01627516802226,28.962511907938776,,,Image;StillImage,image/png,ara,Public domain,
coll008,Ms.Ahmed III.2944.2_1r.png,,,Istanbul MS Ahmed III 2944.2,,0918,,,"Istanbul, Turkey",41.01627516802226,28.962511907938776,,,Image;StillImage,image/png,ara,Public domain,
